"RegionName","State","Metro","CountyName","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09"
"New York","NY","New York","Queens",3.45238095238095,3.5,3.5,3.5,3.484,3.40909090909091,3.42857142857143,3.50877192982456,3.51648351648352,3.47107438016529,3.11111111111111,3,2.84210526315789,3.30769230769231,3.46666666666667,3.53333333333333,3.45454545454545,3.6986301369863,3.63636363636364,3.33333333333333,3.125,3,3,3.09090909090909,3.46153846153846,3.625,3.73364485981308,3.7956204379562,3.75,3.81818181818182,4,4,4.07497962510187,4.11383285302594,4.1896186440678,4.11111111111111,4.14423076923077,4.19790104947526,4.13629737609329,4,4.1,4.07773386034255,4.06739811912226,4
"Los Angeles","CA","Los Angeles","Los Angeles",1.53846153846154,1.55264434740417,1.58777711204314,1.63934426229508,1.6566265060241,1.63630229419703,1.81629834254144,1.78571428571428,1.80851063829787,1.80952380952381,1.76356589147287,1.8,1.83847669074196,1.83139534883721,1.74799708667152,1.78784266984505,1.78571428571428,1.80102915951972,1.78403755868545,1.76991150442478,1.75,1.77664974619289,1.76470588235294,1.83333333333333,1.88811188811189,1.94,1.90643274853801,1.92926045016077,1.93256578947368,1.89364461738002,1.89583333333333,1.94444444444444,1.95040485829959,1.90727272727273,1.87388987566607,1.90018656716418,1.91977611940298,1.79833012202954,1.9192,1.95833333333333,1.93333333333333,1.93333333333333,1.91304347826087,1.9912
"Chicago","IL","Chicago","Cook",1.30533333333333,1.33,1.3719512195122,1.36363636363636,1.34137931034483,1.36645962732919,1.55882352941176,1.54444444444444,1.62631578947368,1.65,1.5,1.5,1.51515151515151,1.53571428571428,1.5625,1.60714285714286,1.55,1.72562553925798,1.75,1.73255813953488,1.6953125,1.72413793103448,1.80995475113122,1.83333333333333,1.8,1.75182481751825,1.69811320754717,1.8348623853211,1.85714285714286,1.87037037037037,1.93467336683417,1.90440487347704,1.875,1.875,1.90739091718611,1.89818809318378,2.04285714285714,2.08341511285574,2.14285714285714,2.06965944272446,2.08618331053352,2.10138888888889,2.07300275482094,2.08611111111111
"Houston","TX","Houston","Harris",0.9375,0.901974132062627,0.904761904761904,0.9,0.9,0.900372935535428,1.00102669404517,0.996300863131935,0.989169675090252,0.998352553542009,0.996320824135393,1,1.00268096514745,1.00612423447069,0.961538461538461,0.989881214254289,1.02098540145985,1.00119189511323,0.88023088023088,0.904255319148936,0.911854103343465,0.954979536152796,0.923652694610778,0.979166666666666,1.15511551155116,1.1968085106383,1.05909090909091,1.0619918699187,1.09916666666667,1.0643330179754,1.14858841010401,1.21283509341998,0.857142857142857,1.22661870503597,1.27494199535963,1.1265306122449,1.0741935483871,1.19047619047619,1.36203866432337,1.28504429390307,1.20266666666667,1.34175217048145,1.35010593220339,1.45960502692998
"Philadelphia","PA","Philadelphia","Philadelphia",1,1.08695652173913,1.18371212121212,1.12359550561798,1.05694980694981,1.19357638888889,1.36206896551724,1.30769230769231,1.2609649122807,1.26875,1.25,1.23487903225806,1.28824476650564,1.34705882352941,1.22377622377622,1.21739130434783,1.1875,1.13333333333333,1.15740740740741,1.123046875,1.09090909090909,1.10441767068273,1.11731843575419,1.17272727272727,1.26818181818182,1.30555555555555,1.35714285714286,1.33248730964467,1.31666666666667,1.29166666666667,1.17176634214186,1.15833333333333,1.171875,1.17647058823529,1.15909090909091,1.16666666666667,1.20292887029289,1.11486486486486,1.25,1.28434886499403,1.26654898499559,1.2,1.16666666666667,1.18918918918919
"Phoenix","AZ","Phoenix","Maricopa",0.743931088488645,0.738188976377952,0.743761996161228,0.75075075075075,0.77559462254395,0.766384778012684,0.786225402504472,0.785634118967452,0.792907801418439,0.786075238629983,0.780071813285457,0.772727272727272,0.785714285714285,0.790340285400658,0.776923076923076,0.765237020316027,0.75,0.732807215332581,0.753968253968253,0.746794871794871,0.745233968804159,0.739860139860139,0.726452905811623,0.73051948051948,0.75,0.784313725490196,0.785229202037351,0.788954635108481,0.788146279949558,0.789141414141414,0.798872180451127,0.789473684210526,0.787037037037037,0.793650793650793,0.786382978723404,0.788760167611535,0.786184210526315,0.747126436781609,0.77803738317757,0.772471910112359,0.768442622950819,0.78125,0.745333333333333,0.7700477960701
"Las Vegas","NV","Las Vegas","Clark",0.77141382868937,0.757575757575757,0.770547945205479,0.773195876288659,0.774410774410774,0.762711864406779,0.791341991341991,0.788732394366197,0.788732394366197,0.787711697518708,0.766806722689075,0.75910931174089,0.758284600389863,0.760416666666666,0.744680851063829,0.745912806539509,0.742857142857142,0.74009324009324,0.742311770943796,0.734933855952964,0.732484076433121,0.727941176470588,0.728363324764353,0.73076923076923,0.732844770153231,0.7375,0.727642276422764,0.728920409771473,0.727773406766325,0.725786924939467,0.72020725388601,0.719822812846068,0.719822812846068,0.718993409227082,0.720338983050847,0.722453222453222,0.719822812846068,0.716426858513189,0.726040658276863,0.728571428571428,0.729014598540145,0.736377025036818,0.732323232323232,0.722642807983482
"San Antonio","TX","San Antonio","Bexar",0.720997470184315,0.703769140164899,0.687070580886945,0.6875,0.722789115646258,0.675105485232067,0.880973066898349,0.872916666666666,0.872307692307692,0.866861030126336,0.863782051282051,0.855991943605236,0.817683881064162,0.812857142857142,0.755342667649226,0.742115027829313,0.731651376146788,0.740037950664136,0.752941176470588,0.744047619047619,0.725738396624472,0.752279635258358,0.754414125200642,0.784313725490196,0.848818897637795,0.882758620689655,0.852272727272727,0.827814569536423,0.829187396351575,0.824780058651026,0.853731343283582,0.825415676959619,0.837957824639289,0.850434782608695,0.847912524850894,0.856327307326355,0.877620672842515,0.819112627986348,0.884648742411101,0.873527101335428,0.86015538290788,0.869565217391304,0.849150849150849,0.828877005347593
"San Diego","CA","San Diego","San Diego",2.04678362573099,1.96194762684124,1.8978102189781,1.91637630662021,1.9875,1.97619047619048,1.795,1.81666666666667,1.82549504950495,1.81646273637375,1.68965517241379,1.67837078651685,1.69833948339483,1.70244263508512,1.65,1.64722031571723,1.66284403669725,1.65625,1.65,1.64661177960735,1.64609053497942,1.6548463356974,1.67560321715818,1.68785310734463,1.70795306388527,1.72416974169742,1.67464114832536,1.66333998669328,1.69650122050447,1.71114599686028,1.6994266994267,1.70619235836627,1.7175572519084,1.71428571428571,1.72577319587629,1.73684210526316,1.75194660734149,1.74736842105263,1.75,1.73894736842105,1.73529411764706,1.76056338028169,1.77760968229955,1.82012847965739
"Dallas","TX","Dallas-Fort Worth","Dallas",0.785046728971962,0.822147651006711,0.894941634241245,0.843098958333333,0.81313775510204,0.82726326742976,0.998427672955974,1.00531914893617,1.02215384615385,1,0.99875,1.00297619047619,1.01351351351351,1.0230179028133,1.01318944844125,1.00463678516229,1.0180412371134,0.99,0.981308411214953,0.959429824561403,0.984,1.00522193211488,1.11702127659574,1.07655502392344,1.04109589041096,1.1070110701107,1.05833333333333,1.14803625377644,1.15168539325843,1.13179916317992,1.15058324496288,1.181640625,1.1943539630836,1.2027027027027,1.22589052997394,1.2550043516101,1.156330749354,1.1671335200747,1.18367346938776,1.2125340599455,1.21212121212121,1.21804511278195,1.20934959349593,1.18181818181818
